char,unicode,ks_x_1001
가,U+AC00,16-01
각,U+AC01,16-02
간,U+AC04,16-03
갇,U+AC07,16-04
갈,U+AC08,16-05
갉,U+AC09,16-06
갊,U+AC0A,16-07
감,U+AC10,16-08
갑,U+AC11,16-09
값,U+AC12,16-10
갓,U+AC13,16-11
갔,U+AC14,16-12
강,U+AC15,16-13
갖,U+AC16,16-14
갗,U+AC17,16-15
같,U+AC19,16-16
갚,U+AC1A,16-17
갛,U+AC1B,16-18
개,U+AC1C,16-19
객,U+AC1D,16-20
갠,U+AC20,16-21
갤,U+AC24,16-22
갬,U+AC2C,16-23
갭,U+AC2D,16-24
갯,U+AC2F,16-25
갰,U+AC30,16-26
갱,U+AC31,16-27
갸,U+AC38,16-28
갹,U+AC39,16-29
갼,U+AC3C,16-30
걀,U+AC40,16-31
걋,U+AC4B,16-32
걍,U+AC4D,16-33
걔,U+AC54,16-34
걘,U+AC58,16-35
걜,U+AC5C,16-36
거,U+AC70,16-37
걱,U+AC71,16-38
건,U+AC74,16-39
걷,U+AC77,16-40
걸,U+AC78,16-41
걺,U+AC7A,16-42
검,U+AC80,16-43
겁,U+AC81,16-44
것,U+AC83,16-45
겄,U+AC84,16-46
겅,U+AC85,16-47
겆,U+AC86,16-48
겉,U+AC89,16-49
겊,U+AC8A,16-50
겋,U+AC8B,16-51
게,U+AC8C,16-52
겐,U+AC90,16-53
겔,U+AC94,16-54
겜,U+AC9C,16-55
겝,U+AC9D,16-56
겟,U+AC9F,16-57
겠,U+ACA0,16-58
겡,U+ACA1,16-59
겨,U+ACA8,16-60
격,U+ACA9,16-61
겪,U+ACAA,16-62
견,U+ACAC,16-63
겯,U+ACAF,16-64
결,U+ACB0,16-65
겸,U+ACB8,16-66
겹,U+ACB9,16-67
겻,U+ACBB,16-68
겼,U+ACBC,16-69
경,U+ACBD,16-70
곁,U+ACC1,16-71
계,U+ACC4,16-72
곈,U+ACC8,16-73
곌,U+ACCC,16-74
곕,U+ACD5,16-75
곗,U+ACD7,16-76
고,U+ACE0,16-77
곡,U+ACE1,16-78
곤,U+ACE4,16-79
곧,U+ACE7,16-80
골,U+ACE8,16-81
곪,U+ACEA,16-82
곬,U+ACEC,16-83
곯,U+ACEF,16-84
곰,U+ACF0,16-85
곱,U+ACF1,16-86
곳,U+ACF3,16-87
공,U+ACF5,16-88
곶,U+ACF6,16-89
과,U+ACFC,16-90
곽,U+ACFD,16-91
관,U+AD00,16-92
괄,U+AD04,16-93
괆,U+AD06,16-94
괌,U+AD0C,17-01
괍,U+AD0D,17-02
괏,U+AD0F,17-03
광,U+AD11,17-04
괘,U+AD18,17-05
괜,U+AD1C,17-06
괠,U+AD20,17-07
괩,U+AD29,17-08
괬,U+AD2C,17-09
괭,U+AD2D,17-10
괴,U+AD34,17-11
괵,U+AD35,17-12
괸,U+AD38,17-13
괼,U+AD3C,17-14
굄,U+AD44,17-15
굅,U+AD45,17-16
굇,U+AD47,17-17
굉,U+AD49,17-18
교,U+AD50,17-19
굔,U+AD54,17-20
굘,U+AD58,17-21
굡,U+AD61,17-22
굣,U+AD63,17-23
구,U+AD6C,17-24
국,U+AD6D,17-25
군,U+AD70,17-26
굳,U+AD73,17-27
굴,U+AD74,17-28
굵,U+AD75,17-29
굶,U+AD76,17-30
굻,U+AD7B,17-31
굼,U+AD7C,17-32
굽,U+AD7D,17-33
굿,U+AD7F,17-34
궁,U+AD81,17-35
궂,U+AD82,17-36
궈,U+AD88,17-37
궉,U+AD89,17-38
권,U+AD8C,17-39
궐,U+AD90,17-40
궜,U+AD9C,17-41
궝,U+AD9D,17-42
궤,U+ADA4,17-43
궷,U+ADB7,17-44
귀,U+ADC0,17-45
귁,U+ADC1,17-46
귄,U+ADC4,17-47
귈,U+ADC8,17-48
귐,U+ADD0,17-49
귑,U+ADD1,17-50
귓,U+ADD3,17-51
규,U+ADDC,17-52
균,U+ADE0,17-53
귤,U+ADE4,17-54
그,U+ADF8,17-55
극,U+ADF9,17-56
근,U+ADFC,17-57
귿,U+ADFF,17-58
글,U+AE00,17-59
긁,U+AE01,17-60
금,U+AE08,17-61
급,U+AE09,17-62
긋,U+AE0B,17-63
긍,U+AE0D,17-64
긔,U+AE14,17-65
기,U+AE30,17-66
긱,U+AE31,17-67
긴,U+AE34,17-68
긷,U+AE37,17-69
길,U+AE38,17-70
긺,U+AE3A,17-71
김,U+AE40,17-72
깁,U+AE41,17-73
깃,U+AE43,17-74
깅,U+AE45,17-75
깆,U+AE46,17-76
깊,U+AE4A,17-77
까,U+AE4C,17-78
깍,U+AE4D,17-79
깎,U+AE4E,17-80
깐,U+AE50,17-81
깔,U+AE54,17-82
깖,U+AE56,17-83
깜,U+AE5C,17-84
깝,U+AE5D,17-85
깟,U+AE5F,17-86
깠,U+AE60,17-87
깡,U+AE61,17-88
깥,U+AE65,17-89
깨,U+AE68,17-90
깩,U+AE69,17-91
깬,U+AE6C,17-92
깰,U+AE70,17-93
깸,U+AE78,17-94
깹,U+AE79,18-01
깻,U+AE7B,18-02
깼,U+AE7C,18-03
깽,U+AE7D,18-04
꺄,U+AE84,18-05
꺅,U+AE85,18-06
꺌,U+AE8C,18-07
꺼,U+AEBC,18-08
꺽,U+AEBD,18-09
꺾,U+AEBE,18-10
껀,U+AEC0,18-11
껄,U+AEC4,18-12
껌,U+AECC,18-13
껍,U+AECD,18-14
껏,U+AECF,18-15
껐,U+AED0,18-16
껑,U+AED1,18-17
께,U+AED8,18-18
껙,U+AED9,18-19
껜,U+AEDC,18-20
껨,U+AEE8,18-21
껫,U+AEEB,18-22
껭,U+AEED,18-23
껴,U+AEF4,18-24
껸,U+AEF8,18-25
껼,U+AEFC,18-26
꼇,U+AF07,18-27
꼈,U+AF08,18-28
꼍,U+AF0D,18-29
꼐,U+AF10,18-30
꼬,U+AF2C,18-31
꼭,U+AF2D,18-32
꼰,U+AF30,18-33
꼲,U+AF32,18-34
꼴,U+AF34,18-35
꼼,U+AF3C,18-36
꼽,U+AF3D,18-37
꼿,U+AF3F,18-38
꽁,U+AF41,18-39
꽂,U+AF42,18-40
꽃,U+AF43,18-41
꽈,U+AF48,18-42
꽉,U+AF49,18-43
꽐,U+AF50,18-44
꽜,U+AF5C,18-45
꽝,U+AF5D,18-46
꽤,U+AF64,18-47
꽥,U+AF65,18-48
꽹,U+AF79,18-49
꾀,U+AF80,18-50
꾄,U+AF84,18-51
꾈,U+AF88,18-52
꾐,U+AF90,18-53
